Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.848562996	-0.848562996
HMR_9039	isoleucine	-0.01142058	-0.0064882229198772
HMR_9040	leucine	-0.012571768	-0.0122785095097278
HMR_9041	lysine	-0.009254128	-0.00925411874627903
HMR_9042	methionine	-0.003363566	-0.00297269177603935
HMR_9043	phenylalanine	-0.003162452	-0.00469168310740124
HMR_9044	threonine	-0.009353784	-0.009353784
HMR_9045	tryptophan	-0.000865457	-0.00124077569782512
HMR_9046	valine	-0.008788208	-0.00871127937848054
HMR_9061	alanine	0.022787714	-0.0100554530511244
HMR_9062	asparagine	-0.004913882	-0.00482093057592469
HMR_9063	glutamine	-0.122203241	-0.016925161811218
HMR_9064	tyrosine	-0.004482545	-0.00354138063754254
HMR_9066	arginine	-0.00129978	-0.0068630405785952
HMR_9067	glycine	0.016061208	-0.00546316152142782
HMR_9068	proline	-0.001069608	-0.00644944867932016
HMR_9069	serine	-0.024670565	-0.0167393034026597
HMR_9070	aspartate	0.001500354	0
HMR_9071	glutamate	0.016112564	-0.0104364175108932
HMR_9083	choline	-0.001938647	-0.00135010094508572
HMR_9087	ornithine	-0.002311655	0
HMR_9133	pyruvate	2.87325e-07	0
HMR_9135	L-lactate	0.932104298	1.53846956773107
HMR_9146	folate	9.99813e-06	-0.0187871103829691
HMR_9259	AKG	1.9532e-05	0
HMR_9292	L-carnitine	-1.83091e-05	0
humanGrowthOut	biomass	0.020798529	0.0274410761196285
