Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.848562996	-0.848562996
HMR_9039	isoleucine	-0.01142058	-0.0038146597439609
HMR_9040	leucine	-0.012571768	-0.00819719763750822
HMR_9041	lysine	-0.009254128	-0.00704909616117047
HMR_9042	methionine	-0.003363566	-0.00192584763772783
HMR_9043	phenylalanine	-0.003162452	-0.00358010137782738
HMR_9044	threonine	-0.009353784	-0.00607382716514163
HMR_9045	tryptophan	-0.000865457	-0.000888852755874385
HMR_9046	valine	-0.008788208	-0.00581457844467827
HMR_9061	alanine	0.022787714	-0.0115674310035319
HMR_9062	asparagine	-0.004913882	-0.0049380708659688
HMR_9063	glutamine	-0.122203241	-0.0210444120071364
HMR_9064	tyrosine	-0.004482545	-0.00234558366133518
HMR_9066	arginine	-0.00129978	-0.00625900482261546
HMR_9067	glycine	0.016061208	-0.0198880804126897
HMR_9068	proline	-0.001069608	-0.0105304361216785
HMR_9069	serine	-0.024670565	-0.0124732028247101
HMR_9070	aspartate	0.001500354	0
HMR_9071	glutamate	0.016112564	-0.561872845984811
HMR_9083	choline	-0.001938647	-0.000458370255544972
HMR_9087	ornithine	-0.002311655	0.279537302913714
HMR_9133	pyruvate	2.87325e-07	0.120954151250064
HMR_9135	L-lactate	0.932104298	1.5061234052391
HMR_9146	folate	9.99813e-06	0
HMR_9259	AKG	1.9532e-05	0.178972953204527
HMR_9292	L-carnitine	-1.83091e-05	0
humanGrowthOut	biomass	0.020798529	0.02057529527487
