Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.864113881	-0.551348821066947
HMR_9039	isoleucine	-0.00889841	-0.0021511412069453
HMR_9040	leucine	-0.010361673	-0.00462251702722225
HMR_9041	lysine	-0.012443708	-0.00397508617852998
HMR_9042	methionine	-0.003263032	-0.00108601303651607
HMR_9043	phenylalanine	-0.00339599	-0.00201887038839526
HMR_9044	threonine	-0.008802744	-0.00281595870665487
HMR_9045	tryptophan	-0.000725178	-0.000501236786084341
HMR_9046	valine	-0.010005055	-0.00327892397563506
HMR_9061	alanine	0.0076389	-0.00652303984112538
HMR_9062	asparagine	-0.002440472	-0.00278464881157967
HMR_9063	glutamine	-0.109775824	-0.0118672450186825
HMR_9064	tyrosine	-0.003969672	-0.00132270818550034
HMR_9066	arginine	-0.009856139	-0.00352954236867723
HMR_9067	glycine	0.0025653	-0.0166452382712182
HMR_9068	proline	0.000231007	-0.00593826359069365
HMR_9069	serine	-0.030117158	-0.00431878493891021
HMR_9070	aspartate	-0.000684778	-0.00541038204358023
HMR_9071	glutamate	0.018807129	-0.00159765079889629
HMR_9083	choline	-0.000571763	-0.000258481545123868
HMR_9087	ornithine	0.01603422	0
HMR_9133	pyruvate	5.75643e-08	0
HMR_9135	L-lactate	0.992967126	1.01114320317079
HMR_9146	folate	-1.39717e-05	-0.00271503259129069
HMR_9259	AKG	1.23778e-05	0
HMR_9292	L-carnitine	9.89095e-06	0
humanGrowthOut	biomass	0.025987054	0.011602703381582
