Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.898948663	-0.0181170511433834
HMR_9039	isoleucine	-0.004599992	-0.00937337375589442
HMR_9040	leucine	-0.00879963	-0.0177384563109556
HMR_9041	lysine	-0.015465749	-0.0648631135472711
HMR_9042	methionine	-0.004351409	-0.0042945638116657
HMR_9043	phenylalanine	-0.004906518	-0.0067779575167125
HMR_9044	threonine	-0.009821513	-0.009821513
HMR_9045	tryptophan	-0.00133912	-0.00179251769037025
HMR_9046	valine	-0.010175864	-0.0125849679511411
HMR_9061	alanine	0.086767953	0
HMR_9062	asparagine	-0.001222105	-0.0069646781094594
HMR_9063	glutamine	-0.219496506	-0.228010369028913
HMR_9064	tyrosine	-0.006833216	-0.00511614424126508
HMR_9066	arginine	-0.005431378	-0.00991486347486043
HMR_9067	glycine	0.008171299	-0.00789249313125261
HMR_9068	proline	0.00710491	-0.00931735757807035
HMR_9069	serine	-0.031649758	-0.0241828441192405
HMR_9070	aspartate	-0.012462967	0
HMR_9071	glutamate	0.011390914	0
HMR_9083	choline	-0.000844902	-0.00195045714716508
HMR_9087	ornithine	-0.001427155	0
HMR_9133	pyruvate	1.5187e-07	0
HMR_9135	L-lactate	1.118142634	0
HMR_9146	folate	8.51269e-06	0
HMR_9259	AKG	1.0472e-05	0
HMR_9292	L-carnitine	-4.71519e-05	0
humanGrowthOut	biomass	0.019171008	0.0396434379505097
