Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.891204517	-0.0207559762412214
HMR_9039	isoleucine	-0.013615722	-0.0129830278688542
HMR_9040	leucine	-0.01834798	-0.0245694750506205
HMR_9041	lysine	-0.022543147	-0.211169675458189
HMR_9042	methionine	-0.006100296	-0.0059483992227818
HMR_9043	phenylalanine	-0.006567123	-0.00938812572986867
HMR_9044	threonine	-0.013603744	-0.013603744
HMR_9045	tryptophan	-0.001211726	-0.00248281011037849
HMR_9046	valine	-0.01330341	-0.0174313959832823
HMR_9061	alanine	0.056209087	0
HMR_9062	asparagine	-0.00571363	-0.0096467517830331
HMR_9063	glutamine	-0.226698917	-0.0539886004229989
HMR_9064	tyrosine	-0.007986935	-0.00708635385670528
HMR_9066	arginine	-0.027206388	-0.013733043423031
HMR_9067	glycine	-0.000802262	-0.0109318651903073
HMR_9068	proline	0.000605661	-0.0129054400529049
HMR_9069	serine	-0.0325857	-0.0334955881241563
HMR_9070	aspartate	-0.001934168	0
HMR_9071	glutamate	0.02678411	-0.0898022666068476
HMR_9083	choline	-0.002044274	-0.00270157151076216
HMR_9087	ornithine	0.007885861	0
HMR_9133	pyruvate	2.50926e-07	0
HMR_9135	L-lactate	1.392205968	0
HMR_9146	folate	4.25415e-05	0
HMR_9259	AKG	2.24831e-05	0
HMR_9292	L-carnitine	-1.19031e-05	0
humanGrowthOut	biomass	0.035730055	0.0549099900561414
